Scan 238 (4.119 min): TERPENESTANDARD_20180830-4.d\data.ms
eugenol, a-pinene, b-pinene, fenchone

m/z	Abundance	
30.10	2665.0	
31.00	674.0	
32.00	20040.0	
35.90	241.0	
37.10	5905.0	
38.10	27472.0	
39.10	500032.0	
40.10	82544.0	
41.10	528832.0	
42.10	36256.0	
43.10	186880.0	
44.10	8751.0	
45.00	2705.0	
46.00	661.0	
49.10	1684.0	
50.10	65296.0	
51.10	228544.0	
52.10	100688.0	
53.10	358912.0	
54.10	43672.0	
55.10	226880.0	
56.10	17400.0	
57.30	13870.0	
58.00	17112.0	
60.20	599.0	
61.00	5352.0	
62.10	27088.0	
63.10	102552.0	
64.10	23920.0	
65.10	329344.0	
66.10	85000.0	
67.10	418624.0	
68.10	170752.0	
69.10	43360.0	
70.10	5182.0	
71.00	545.0	
73.10	1327.0	
74.10	16968.0	
75.10	15062.0	
76.10	14434.0	
77.10	1648128.0	
78.10	271808.0	
79.10	1382400.0	
80.10	533440.0	
81.10	178944.0	
82.10	20912.0	
83.20	3861.0	
84.00	534.0	
85.10	1479.0	
86.00	4601.0	
87.10	6779.0	
88.10	1039.0	
89.10	33728.0	
90.10	11083.0	
91.10	2501632.0	
92.10	2148864.0	
93.10	5291008.0	
94.10	558720.0	
95.10	74424.0	
96.10	5051.0	
97.00	603.0	
98.00	1685.0	
99.00	551.0	
100.10	179.0	
101.10	2472.0	
102.10	17760.0	
103.10	148416.0	
104.10	41672.0	
105.10	740928.0	
106.10	180672.0	
107.10	359104.0	
108.10	83984.0	
109.10	17392.0	
110.10	1381.0	
111.10	272.0	
113.00	606.0	
114.00	534.0	
115.10	52592.0	
116.10	12144.0	
117.10	36056.0	
118.10	5292.0	
119.10	158912.0	
120.10	25984.0	
121.10	890048.0	
122.10	85800.0	
123.20	3710.0	
124.00	201.0	
126.10	340.0	
127.10	883.0	
128.10	2502.0	
129.10	1190.0	
130.10	231.0	
131.10	867.0	
132.00	301.0	
133.20	2282.0	
134.10	1349.0	
135.20	7970.0	
136.20	610112.0	
137.20	66160.0	
138.20	2970.0	
139.10	171.0	
206.80	286.0	
