TIC: ABFR_20180831.D\data.ms
Abies fraseri Oil

Time	Counts	
3.091	51530.00	
3.096	50391.00	
3.100	49989.00	
3.104	48993.00	
3.109	49558.00	
3.113	51420.00	
3.117	51952.00	
3.122	48122.00	
3.126	51216.00	
3.130	50657.00	
3.135	49639.00	
3.139	49637.00	
3.143	49159.00	
3.148	49037.00	
3.152	48857.00	
3.156	48458.00	
3.161	48528.00	
3.165	49814.00	
3.169	50837.00	
3.174	49443.00	
3.178	49443.00	
3.182	49831.00	
3.187	48914.00	
3.191	50376.00	
3.195	51195.00	
3.200	49362.00	
3.204	49747.00	
3.208	49781.00	
3.213	49498.00	
3.217	50143.00	
3.221	51505.00	
3.226	50968.00	
3.230	51237.00	
3.234	49100.00	
3.239	49264.00	
3.243	48698.00	
3.247	48991.00	
3.252	47895.00	
3.256	49525.00	
3.260	49733.00	
3.265	50657.00	
3.269	49326.00	
3.273	49470.00	
3.278	48432.00	
3.282	48503.00	
3.286	49662.00	
3.291	48511.00	
3.295	47907.00	
3.299	47115.00	
3.304	48430.00	
3.308	48281.00	
3.312	47825.00	
3.317	48164.00	
3.321	48056.00	
3.325	47999.00	
3.330	47068.00	
3.334	47021.00	
3.338	47653.00	
3.343	48753.00	
3.347	47764.00	
3.351	46805.00	
3.356	48647.00	
3.360	48221.00	
3.364	48323.00	
3.369	48287.00	
3.373	46971.00	
3.377	48276.00	
3.382	49280.00	
3.386	46959.00	
3.390	48300.00	
3.395	47247.00	
3.399	47232.00	
3.403	45694.00	
3.408	47850.00	
3.412	46932.00	
3.416	46999.00	
3.421	46430.00	
3.425	46131.00	
3.429	47992.00	
3.434	47349.00	
3.438	46453.00	
3.442	48773.00	
3.447	46874.00	
3.451	47750.00	
3.455	44937.00	
3.460	47271.00	
3.464	46341.00	
3.468	48772.00	
3.473	47220.00	
3.477	45927.00	
3.481	47259.00	
3.486	45292.00	
3.490	46265.00	
3.494	48776.00	
3.499	46524.00	
3.503	45922.00	
3.507	47631.00	
3.512	47094.00	
3.516	47294.00	
3.520	46426.00	
3.525	46048.00	
3.529	48000.00	
3.533	47788.00	
3.538	46422.00	
3.542	47103.00	
3.546	46553.00	
3.551	46581.00	
3.555	46629.00	
3.559	45566.00	
3.564	48460.00	
3.568	45745.00	
3.572	46986.00	
3.577	46682.00	
3.581	46346.00	
3.585	46746.00	
3.590	46929.00	
3.594	45169.00	
3.598	46962.00	
3.603	45279.00	
3.607	45662.00	
3.611	44652.00	
3.616	44912.00	
3.620	47873.00	
3.624	46127.00	
3.629	45052.00	
3.633	46947.00	
3.637	46731.00	
3.642	45714.00	
3.646	46827.00	
3.650	45613.00	
3.655	46676.00	
3.659	44502.00	
3.663	45394.00	
3.668	47047.00	
3.672	44616.00	
3.676	47340.00	
3.681	45880.00	
3.685	45660.00	
3.689	44574.00	
3.694	45396.00	
3.698	43671.00	
3.702	46058.00	
3.707	46188.00	
3.711	45743.00	
3.715	47030.00	
3.720	44572.00	
3.724	46959.00	
3.728	45659.00	
3.733	46209.00	
3.737	48990.00	
3.741	84661.00	
3.746	204256.00	
3.750	357888.00	
3.754	363926.00	
3.759	237665.00	
3.763	118606.00	
3.767	67202.00	
3.772	51995.00	
3.776	48807.00	
3.780	49096.00	
3.785	48276.00	
3.789	47474.00	
3.793	46707.00	
3.798	47346.00	
3.802	46640.00	
3.806	44796.00	
3.811	47281.00	
3.815	46370.00	
3.819	45917.00	
3.824	43374.00	
3.828	44822.00	
3.833	45303.00	
3.837	47084.00	
3.841	45053.00	
3.846	44335.00	
3.850	46602.00	
3.854	47639.00	
3.859	44843.00	
3.863	45914.00	
3.867	45434.00	
3.872	46113.00	
3.876	45064.00	
3.880	44760.00	
3.885	44810.00	
3.889	44438.00	
3.893	46684.00	
3.898	43824.00	
3.902	45422.00	
3.906	46351.00	
3.911	44554.00	
3.915	46031.00	
3.919	44436.00	
3.924	45689.00	
3.928	43912.00	
3.932	44458.00	
3.937	45781.00	
3.941	44105.00	
3.945	45854.00	
3.950	46168.00	
3.954	44523.00	
3.958	45519.00	
3.963	44003.00	
3.967	43700.00	
3.971	45084.00	
3.976	44210.00	
3.980	45118.00	
3.984	46394.00	
3.989	45645.00	
3.993	44244.00	
3.997	44197.00	
4.002	45999.00	
4.006	45286.00	
4.010	44721.00	
4.015	43131.00	
4.019	44924.00	
4.023	44412.00	
4.028	46411.00	
4.032	65098.00	
4.036	121595.00	
4.041	199791.00	
4.045	226772.00	
4.049	166354.00	
4.054	96828.00	
4.058	61001.00	
4.062	57120.00	
4.067	60794.00	
4.071	62869.00	
4.075	55476.00	
4.080	48259.00	
4.084	47335.00	
4.088	46336.00	
4.093	46066.00	
4.097	44911.00	
4.101	45963.00	
4.106	45051.00	
4.110	71796.00	
4.114	266378.00	
4.119	1027604.00	
4.123	2286249.00	
4.127	2633666.00	
4.132	1741456.00	
4.136	691424.00	
4.140	211517.00	
4.145	81422.00	
4.149	57972.00	
4.153	49961.00	
4.158	49458.00	
4.162	46629.00	
4.166	48043.00	
4.171	47877.00	
4.175	46052.00	
4.179	44348.00	
4.184	46601.00	
4.188	46359.00	
4.192	45664.00	
4.197	46650.00	
4.201	48025.00	
4.205	45609.00	
4.210	45553.00	
4.214	45552.00	
4.218	44558.00	
4.223	48279.00	
4.227	55992.00	
4.231	91505.00	
4.236	334832.00	
4.240	1117976.00	
4.244	2001822.00	
4.249	1988066.00	
4.253	1171174.00	
4.257	455605.00	
4.262	152062.00	
4.266	68960.00	
4.270	53021.00	
4.275	51001.00	
4.279	47524.00	
4.283	46981.00	
4.288	46916.00	
4.292	47970.00	
4.296	46737.00	
4.301	45963.00	
4.305	46242.00	
4.309	46686.00	
4.314	44582.00	
4.318	46337.00	
4.322	44960.00	
4.327	44656.00	
4.331	44960.00	
4.335	45750.00	
4.340	45010.00	
4.344	45419.00	
4.348	44630.00	
4.353	43643.00	
4.357	46499.00	
4.361	44507.00	
4.366	42801.00	
4.370	43983.00	
4.374	44760.00	
4.379	45142.00	
4.383	44497.00	
4.387	45351.00	
4.392	45473.00	
4.396	45799.00	
4.400	46178.00	
4.405	51415.00	
4.409	66348.00	
4.413	83890.00	
4.418	87483.00	
4.422	72116.00	
4.426	56494.00	
4.431	50690.00	
4.435	81960.00	
4.439	379534.00	
4.444	1625883.00	
4.448	3832705.00	
4.452	4757651.00	
4.457	3462880.00	
4.461	1492839.00	
4.465	407627.00	
4.470	116597.00	
4.474	63833.00	
4.478	56963.00	
4.483	54757.00	
4.487	51533.00	
4.491	51153.00	
4.496	50105.00	
4.500	49691.00	
4.504	53549.00	
4.509	85224.00	
4.513	134838.00	
4.517	147986.00	
4.522	113964.00	
4.526	79954.00	
4.530	67227.00	
4.535	58806.00	
4.539	54191.00	
4.543	52444.00	
4.548	50389.00	
4.552	49879.00	
4.556	48610.00	
4.561	49764.00	
4.565	49187.00	
4.570	49073.00	
4.574	48412.00	
4.578	48441.00	
4.583	48328.00	
4.587	47549.00	
4.591	46588.00	
4.596	47582.00	
4.600	47020.00	
4.604	46191.00	
4.609	47302.00	
4.613	47254.00	
4.617	47963.00	
4.622	48191.00	
4.626	49484.00	
4.630	48087.00	
4.635	54156.00	
4.639	52940.00	
4.643	51019.00	
4.648	49271.00	
4.652	48850.00	
4.656	47433.00	
4.661	46310.00	
4.665	56744.00	
4.669	156397.00	
4.674	560955.00	
4.678	1288829.00	
4.682	1469104.00	
4.687	900017.00	
4.691	349212.00	
4.695	115139.00	
4.700	63968.00	
4.704	55118.00	
4.708	49496.00	
4.713	49676.00	
4.717	50271.00	
4.721	51424.00	
4.726	53754.00	
4.730	48218.00	
4.734	47577.00	
4.739	47892.00	
4.743	46602.00	
4.747	45590.00	
4.752	46437.00	
4.756	48129.00	
4.760	47190.00	
4.765	48833.00	
4.769	75704.00	
4.773	154108.00	
4.778	219622.00	
4.782	181784.00	
4.786	114867.00	
4.791	214363.00	
4.795	855006.00	
4.799	2036595.00	
4.804	2418657.00	
4.808	1642372.00	
4.812	1028255.00	
4.817	656244.00	
4.821	332955.00	
4.825	146449.00	
4.830	78768.00	
4.834	62242.00	
4.838	57744.00	
4.843	58322.00	
4.847	61825.00	
4.851	64071.00	
4.856	62519.00	
4.860	61928.00	
4.864	58755.00	
4.869	57892.00	
4.873	53822.00	
4.877	52807.00	
4.882	49765.00	
4.886	50561.00	
4.890	47557.00	
4.895	47948.00	
4.899	48532.00	
4.903	47486.00	
4.908	48588.00	
4.912	47634.00	
4.916	46235.00	
4.921	47555.00	
4.925	46683.00	
4.929	47225.00	
4.934	48712.00	
4.938	48592.00	
4.942	48693.00	
4.947	47462.00	
4.951	47380.00	
4.955	46276.00	
4.960	46012.00	
4.964	44914.00	
4.968	47222.00	
4.973	45956.00	
4.977	46697.00	
4.981	47401.00	
4.986	45661.00	
4.990	45684.00	
4.994	46566.00	
4.999	47334.00	
5.003	51326.00	
5.007	55692.00	
